순번;자치단체;시설유형;시설구분;시설명;건립일;운영방식;건물면적(㎡);토지면적(㎡);관리인력;연간이용인원;건립비용;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;비용;수익;순수익
취득가액;감가상각액;감가상각 누계액;장부가액;내용연수
1;서울본청;문화시설;공립도서관;서울도서관;2012.10.26;직영;9,499;18,711;52;996,104;64,100;64,100;1,603;64,100;0;40;2,806;0;-2,806
2;서울본청;문화시설;박물관;서울역사박물관;1998.02.03;직영;20,883;99,728;259;1,669,855;34,411;34,411;341;14,270;20,140;80;14,434;818;-13,617
3;서울본청;문화시설;박물관;한성백제박물관;2011.12.31;직영;19,423;14,894;137;700,160;79,531;79,531;775;3,751;75,780;40;13,212;243;-12,969
4;서울본청;문화시설;미술관;서울시립미술관;2002.01.31;직영;13,433;25,420;98;636,287;27,804;27,804;798;9,247;18,557;40;1,431;383;-1,047
5;서울본청;문화시설;미술관;시립북서울미술관;2013.05.31;직영;17,113;23,751;46;581,387;41,945;41,945;839;4,194;37,750;40;940;132;-808
6;서울본청;문화시설;문화예술회관;동대문디자인플라자;2013.11.20;위탁;86,574;62,108;40;10,604,794;421,222;384,332;10,128;29,864;354,468;40;14,362;15,047;685
7;서울본청;문화시설;문화예술회관;블루스퀘어;2011.08.24;BTO;30,250;10,826;76;662,000;78,466;78,466;1,450;7,355;71,111;40;0;865;865
8;서울본청;문화시설;문화예술회관;세종문화회관;1978.04.14;위탁;13,081;55,758;452;2,120,845;28,533;28,533;825;10,520;18,013;40;43,726;46,839;3,113
9;서울본청;문화시설;청소년수련회관;노원청소년수련관;1997.06.30;위탁;8,246;3,560;77;0;39,443;39,443;88;1,353;38,090;40;5,192;6,200;1,009
10;서울본청;문화시설;청소년수련회관;마포청소년수련관;2008.10.01;위탁;1,113;2,286;37;0;9,957;409;0;0;409;0;4,549;4,943;395
11;서울본청;문화시설;청소년수련회관;목동청소년수련관;1988.10.21;위탁;6,203;5,743;34;0;32,209;32,209;61;1,285;30,925;40;3,714;3,809;95
12;서울본청;문화시설;청소년수련회관;은평청소년수련관;2003.10.25;위탁;4,963;13,500;41;0;23,130;23,130;267;2,736;20,394;40;3,597;3,891;294
13;서울본청;문화시설;과학관;서울시립과학관;2016.06.30;직영;12,330;25,875;0;0;42,349;42,349;2,223;5,110;37,239;40;3,351;335;-3,017
14;서울본청;체육시설;육상경기장;잠실올림픽주경기장;1984.09.29;직영;75,469;111,792;30;590,563;36,736;36,736;1,327;29,214;7,522;40;12,911;11,411;-1,500
