순번;자치단체;시설유형;시설구분;시설명;건립일;운영방식;건물면적(㎡);토지면적(㎡);관리인력;연간이용인원;건립비용;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;비용;수익;순수익
15;서울본청;체육시설;축구장;서울월드컵경기장;2001.12.27;위탁;166,515;216,712;91;447,299;206,000;83,642;2,405;28,527;55,115;40;15,263;19,199;3,937
16;서울본청;체육시설;야구장;잠실야구장;1982.07.15;위탁;26,331;45,312;40;2,327,975;21,646;21,646;866;18,614;3,032;40;3,207;14,600;11,392
17;서울본청;기타시설;기타시설;서울에너지드림센터;2012.12.10;위탁;3,762;13,039;12;92,074;20,306;20,306;508;3,046;17,260;40;1,089;36;-1,053
18;서울종로구;체육시설;체육관;종로문화체육센터;2007.04.01;위탁;6,756;3,069;34;696,048;19,535;19,535;385;4,584;14,950;40;2,560;2,350;-210
19;서울종로구;기타시설;기타시설;종로구민회관;2000.01.31;위탁;11,262;3,974;37;786,692;24,647;24,119;390;6,245;17,874;40;3,011;2,375;-637
20;서울중구;문화시설;문화예술회관;충무아트센터;2005.02.04;위탁;25,994;6,512;46;447,855;46,352;34,639;517;5,665;28,974;40;7,946;8,254;308
21;서울중구;체육시설;체육관;충무아트홀 스포츠센터;2005.02.04;위탁;12,520;9,172;35;1,774,006;18,933;14,149;354;2,668;16,265;40;3,368;4,379;1,011
22;서울중구;체육시설;체육관;회현체육센터;2009.05.01;위탁;4,829;2,693;21;377,154;15,604;10,751;269;2,128;8,624;40;1,428;821;-607
23;서울중구;기타시설;기타시설;중구구민회관;1990.06.05;위탁;1,899;5,224;0;0;14,163;14,163;82;1,602;12,561;40;851;533;-318
24;서울용산구;문화시설;문화예술회관;용산아트홀;2010.07.01;직영;8,519;13,497;8;120,000;27,048;27,048;676;5,410;21,638;40;1,023;285;-738
25;서울용산구;체육시설;체육관;용산구문화체육센터;2005.08.10;위탁;5,919;1,272;25;460,000;14,853;14,853;371;4,827;10,026;40;1,862;1,576;-286
26;서울용산구;복지시설;종합사회복지관;갈월종합사회복지관;2001.09.01;위탁;6,358;1,627;34;519,868;12,592;12,592;252;4,280;8,312;40;2,690;2,722;32
27;서울용산구;기타시설;기타시설;용산청소년수련관;2006.06.15;위탁;6,497;1,333;32;62,620;14,000;14,000;350;3,850;10,150;40;2,462;2,310;-152
28;서울성동구;문화시설;공립도서관;성동구립도서관;1999.04.23;위탁;5,692;1,894;28;1,418,541;12,148;12,148;304;5,770;6,378;40;2,270;247;-2,023
29;서울성동구;기타시설;기타시설;성수문화복지회관;2012.09.14;위탁;9,726;2,204;20;605,500;23,580;23,580;589;3,537;20,043;40;1,034;336;-698
30;서울광진구;문화시설;공립도서관;광진정보도서관;2000.11.10;위탁;7,283;3,499;27;1,554,970;19,485;10,540;69;1,268;873;40;2,141;91;-2,050
31;서울광진구;문화시설;문화예술회관;광진문화예술회관;2005.03.01;위탁;18,860;5,931;26;770,241;38,273;32,220;350;2,756;35,517;40;3,392;3,935;543
32;서울광진구;체육시설;체육관;광진구민체육센터;2006.06.30;위탁;6,623;10,921;27;1,017,952;27,049;25,369;468;5,410;21,639;40;4,141;461;-3,679
33;서울광진구;체육시설;체육관;중곡문화체육센터;2008.10.28;위탁;8,176;3,690;25;688,174;20,452;16,500;413;3,815;16,637;40;3,062;2,640;-422
34;서울동대문구;문화시설;공립도서관;답십리도서관;2014.04.03;위탁;3,142;883;18;505,849;11,519;11,519;288;1,152;10,367;40;972;176;-796
35;서울동대문구;체육시설;체육관;동대문구체육관;2004.09.08;위탁;5,742;5,746;10;493,997;11,438;11,438;286;4,003;7,435;40;740;487;-253
36;서울동대문구;복지시설;종합사회복지관;동대문종합사회복지관;2000.07.26;위탁;7,464;1,845;50;562,360;12,728;12,728;249;4,521;8,207;40;4,404;5,079;675
37;서울동대문구;기타시설;기타시설;서울한방진흥센터;2017.08.15;직영;1,651;2,789;20;52,921;46,525;46,525;548;666;45,859;40;1,067;88;-978
38;서울동대문구;기타시설;기타시설;용두문화복지센터;2018.06.25;위탁;3,629;1,044;7;2,000;23,131;23,131;152;152;22,979;40;162;18;-144
39;서울중랑구;문화시설;공립도서관;중랑구립정보도서관;1999.01.26;위탁;5,106;3,307;47;1,531,490;12,181;5,625;141;2,813;2,813;40;1,748;186;-1,562
40;서울중랑구;체육시설;체육관;중랑구민체육센터;1999.08.31;위탁;6,302;3,248;34;1,100,430;15,030;15,030;233;4,521;10,509;40;3,285;2,850;-434
41;서울중랑구;체육시설;체육관;중랑문화체육관;2006.08.07;위탁;5,075;6,998;25;581,724;15,548;15,213;301;3,741;11,472;40;2,134;1,346;-788
42;서울성북구;문화시설;공립도서관;성북정보도서관;2001.12.15;위탁;6,667;2,468;28;274,526;13,134;1,971;86;838;12,296;40;2,154;56;-2,098
43;서울성북구;기타시설;기타시설;성북구육아종합지원센터(보문);2016.05.24;직영;555;1,138;10;9,173;10,583;756;20;38;10,545;40;107;21;-86
44;서울강북구;문화시설;문화예술회관;강북문화예술회관;2001.11.01;위탁;11,570;13,478;42;1,201,228;34,090;34,090;852;13,636;20,454;40;2,832;1,401;-1,432
45;서울강북구;체육시설;축구장;강북구민운동장;2000.07.22;위탁;172;12,000;5;146,514;13,593;13,593;340;6,287;7,306;40;262;193;-68
46;서울강북구;체육시설;체육관;강북웰빙스포츠센터;2005.01.31;위탁;6,828;4,539;36;965,414;14,480;14,480;362;5,068;9,412;40;3,163;2,182;-982
47;서울도봉구;문화시설;박물관;둘리뮤지엄;2015.04.30;위탁;4,151;5,600;18;83,483;17,638;16,851;421;1,545;15,307;40;1,143;289;-854
48;서울노원구;문화시설;공립도서관;노원정보도서관;2005.11.14;위탁;6,526;2,850;0;2,250,000;16,792;14,337;359;4,697;9,640;40;920;70;-850
49;서울노원구;문화시설;문화예술회관;노원문화예술회관;2004.06.16;위탁;13,167;3,071;36;200,000;24,550;24,550;519;7,291;17,259;40;2,787;715;-2,072
50;서울노원구;체육시설;기타체육시설;월계문화체육센터;2017.07.31;위탁;7,999;261,303;0;24,040;22,682;22,682;567;614;22,068;40;2,720;2,480;-241
51;서울은평구;문화시설;박물관;은평역사한옥박물관;2014.10.07;직영;2,901;6,530;18;64,268;12,528;12,276;307;1,918;10,358;40;843;70;-773
52;서울은평구;문화시설;문화예술회관;은평문화예술회관;1996.11.15;위탁;9,151;16,083;29;203,516;17,643;3,035;76;1,682;1,353;40;1,637;624;-1,013
53;서울은평구;체육시설;체육관;은평구민체육센터;2003.09.01;위탁;8,847;9,988;47;128,700;22,613;16,700;317;5,064;11,635;40;2,707;2,902;196
54;서울은평구;체육시설;체육관;은평다목적체육관;2014.02.12;위탁;2,954;5,876;10;22,870;27,424;8,564;214;1,586;25,838;40;18;323;305
55;서울서대문구;문화시설;박물관;서대문자연사박물관;2003.07.10;직영;1,998;10,351;34;356,179;23,870;5,493;66;2,558;2,936;60;3,308;1,769;-1,539
56;서울서대문구;기타시설;기타시설;서대문문화체육회관;1993.06.30;위탁;5,947;11,326;50;793,847;24,831;24,831;753;7,468;17,363;40;3,291;1,738;-1,553
57;서울마포구;문화시설;공립도서관;마포중앙도서관;2017.10.27;직영;20,229;10,754;47;1,135,387;39,945;39,945;999;1,415;38,531;40;4,292;1,367;-2,925
58;서울마포구;체육시설;체육관;마포구민체육센터;2015.10.30;위탁;7,390;3,554;26;133,532;16,542;16,542;415;1,274;15,268;40;1,918;1,700;-218
59;서울마포구;기타시설;기타시설;마포아트센터;2002.04.26;위탁;19,756;8,388;72;140,960;31,420;31,420;82;16,481;14,940;40;8,470;8,440;-29
60;서울양천구;문화시설;문화예술회관;양천문화회관;1998.01.12;직영;12,801;4,658;13;260,000;18,590;18,590;465;9,760;8,830;40;924;239;-685
61;서울강서구;문화시설;박물관;허준박물관;2004.11.20;위탁;1,793;5,693;10;70,937;14,889;10,049;74;725;9,324;40;637;71;-566
62;서울강서구;문화시설;미술관;겸재정선미술관;2008.11.30;위탁;880;4,065;10;61,719;16,788;16,757;246;2,444;14,313;40;612;63;-549
63;서울강서구;체육시설;체육관;강서구민올림픽체육센터;2000.07.31;위탁;11,357;3,011;37;72,249;17,219;5,936;149;2,703;3,234;40;3,534;2,281;-1,253
64;서울강서구;체육시설;체육관;마곡레포츠센터;2006.11.30;위탁;4,079;20,000;26;73,182;13,289;13,289;334;3,914;9,375;40;2,325;1,754;-570
65;서울금천구;문화시설;문화예술회관;금나래아트홀;2008.11.01;위탁;6,261;6,261;17;94,379;18,210;18,210;455;4,097;14,113;40;218;52;-165
66;서울금천구;체육시설;기타체육시설;금천구민문화체육센터;2001.03.12;위탁;9,115;5,529;26;92,833;20,479;20,479;418;6,692;13,788;40;2,655;2,189;-466
67;서울영등포구;체육시설;체육관;영등포제1스포츠센터;2004.09.01;위탁;9,169;19,782;20;42,170;20,424;20,424;511;7,659;12,765;40;2,348;1,403;-945
68;서울영등포구;체육시설;체육관;영등포제2스포츠센터;2014.08.01;위탁;6,674;1,506;18;70,539;22,105;22,105;553;2,487;19,618;40;2,852;3,188;336
69;서울영등포구;기타시설;기타시설;영등포구민회관;1992.12.29;위탁;3,290;7,075;15;57,053;24,631;24,631;924;12,353;12,278;40;1,014;2,572;1,558
70;서울동작구;체육시설;기타체육시설;동작구민체육센터;2002.05.10;위탁;8,650;4,709;24;98,812;22,132;22,132;137;2,004;20,128;40;4,077;4,705;628
71;서울동작구;체육시설;기타체육시설;사당종합체육관;2017.03.27;위탁;7,102;3,202;13;30,863;22,376;22,376;518;561;21,815;40;1,730;1,585;-144
72;서울동작구;기타시설;기타시설;동작문화복지센터;1999.05.28;직영;10,022;2,897;14;833,000;17,458;17,458;357;6,376;11,082;40;966;74;-892
73;서울관악구;문화시설;문화예술회관;관악문화관;2002.08.28;위탁;14,279;7,349;44;658,685;31,460;31,460;649;9,089;22,371;40;4,698;145;-4,553
74;서울관악구;체육시설;체육관;관악구민종합체육센터;2000.09.08;위탁;1,924;10,357;39;98,860;13,805;11,137;223;2,543;8,594;40;2,895;2,592;-304
75;서울서초구;문화시설;공립도서관;서초구립반포도서관;2013.03.12;위탁;3,591;1,320;19;884,613;20,412;19,508;232;1,373;18,136;40;1,453;58;-1,395
76;서울서초구;기타시설;기타시설;심산기념문화센터;2010.01.22;위탁;8,415;26,092;10;211,978;17,200;17,200;430;3,118;14,083;40;1,417;743;-674
77;서울강남구;문화시설;공립도서관;도곡정보문화도서관;2012.12.14;위탁;2,930;2,812;10;1,128,126;28,009;27,758;694;3,528;24,230;40;741;10;-731
78;서울강남구;문화시설;청소년수련회관;역삼청소년수련관;2004.01.30;위탁;7,048;1,372;32;331,498;16,858;13,141;329;4,555;8,586;40;2,885;3,085;200
79;서울강남구;체육시설;체육관;강남스포츠문화센터;2005.03.01;위탁;1,571;3,304;44;87,412;33,596;20,038;511;6,278;13,760;40;3,137;1,751;-1,387
80;서울송파구;문화시설;공립도서관;글마루도서관;2013.10.25;위탁;3,696;3,696;27;1,027,077;11,513;10,018;250;1,336;8,682;40;2,011;83;-1,928
81;서울송파구;체육시설;기타체육시설;송파구체육문화회관;2004.02.10;위탁;8,983;4,426;37;1,000,000;15,300;15,300;10;237;15,063;40;4,456;4,294;-162
82;서울강동구;문화시설;문화예술회관;강동아트센터;2010.11.20;직영;18,065;20,252;29;139,534;57,375;55,109;1,374;11,339;43,770;40;4,219;435;-3,784
83;부산본청;문화시설;박물관;복천박물관;1996.02.26;직영;7,798;56,334;24;169,135;43,447;43,447;33;774;42,673;40;3,244;4;-3,240
84;부산본청;문화시설;미술관;부산광역시립미술관;1998.03.20;직영;22,826;27,191;49;484,834;42,073;42,073;1,052;22,088;17,789;40;6,353;163;-6,190
85;부산본청;문화시설;미술관;현대미술관;2017.03.08;직영;15,312;29,900;25;281,385;43,000;39,634;438;1,164;38,470;40;2,795;20;-2,775
86;부산본청;문화시설;문화예술회관;부산문화회관;1988.07.25;위탁;44,009;48,424;60;278,555;44,600;44,600;871;30,596;14,004;40;13,278;3,159;-10,119
87;부산본청;문화시설;문화예술회관;영화의전당;2011.09.28;위탁;54,335;32,137;56;908,481;167,850;167,850;3,402;20,536;147,314;40;7,230;4,565;-2,665
88;부산본청;체육시설;육상경기장;아시아드주경기장;2001.09.01;직영;103,163;114,098;70;321,044;230,612;230,612;5,765;27,386;203,226;40;4,311;4,321;11
89;부산본청;체육시설;싸이클경기장;금정체육공원;2002.07.31;위탁;36,542;19,769;82;337,101;75,232;75,232;1,880;31,972;43,260;40;25,218;26,561;1,343
90;부산본청;체육시설;테니스장;금정체육공원;2002.07.31;위탁;7,867;2,630;5;57,843;35,600;35,600;890;15,130;20,470;40;1,343;605;-738
91;부산본청;체육시설;체육관;강서체육공원 체육관;2002.08.01;직영;21,440;12,236;25;1,252,128;32,931;32,931;226;3,513;29,418;40;3,236;814;-2,421
92;부산본청;체육시설;체육관;금정체육공원;2002.07.31;위탁;21,075;7,354;8;370,747;41,800;41,800;1,045;17,765;24,035;40;5,764;2,669;-3,095
93;부산본청;체육시설;체육관;기장체육관;2002.08.01;직영;21,471;61,135;20;108,312;48,010;48,010;282;4,635;433,751;40;1,153;116;-1,037
94;부산본청;체육시설;체육관;사직실내체육관;1985.08.28;직영;31,041;25,901;20;818,653;22,953;22,953;574;8,299;14,654;40;2,424;646;-1,779
95;부산본청;체육시설;수영장;종합운동장실내수영장;1989.02.01;직영;18,149;25,411;32;731,081;23,090;23,090;185;5,532;17,558;40;3,223;1,925;-1,298
96;부산본청;체육시설;요트장;요트경기장;1986.04.03;직영;14,013;138,561;36;338,769;70,826;70,826;44;1,353;69,473;40;2,979;2,129;-850
97;부산동구;체육시설;기타체육시설;동구국민체육문예센터;2017.08.24;직영;5,719;2,818;30;3,281;18,500;13,310;333;471;12,839;40;1,844;1,749;-95
98;부산영도구;문화시설;문화예술회관;영도문화예술회관;2009.10.19;직영;3,538;26,987;21;37,435;10,500;10,500;263;2,363;8,138;40;1,061;102;-959
99;부산영도구;체육시설;체육관;영도국민체육센터;2009.01.02;위탁;7,890;26,987;68;750,612;11,500;11,500;288;2,588;8,913;40;2;0;-2
100;부산부산진구;체육시설;기타체육시설;부산진구 국민체육센터;2017.07.14;위탁;3,704;5,809;25;20,000;13,637;13,637;333;485;13,152;25;46;32;-14
101;부산동래구;문화시설;문화예술회관;동래문화회관;1999.10.22;직영;5,539;10,957;24;107,133;12,691;3,045;65;1,094;1,951;40;889;128;-761
102;부산동래구;체육시설;체육관;동래구국민체육센터;2014.06.26;위탁;4,869;1,822;33;430,839;14,127;13,020;217;1,013;12,007;40;35;146;111
103;부산남구;체육시설;빙상장;남구실내빙상장;2018.04.28;직영;3,606;83,122;19;45,970;11,000;10,774;180;180;10,595;40;976;512;-464
104;부산남구;체육시설;기타체육시설;남구국민체육센터;2010.01.15;직영;5,559;10,900;77;621,942;10,959;10,959;277;2,378;8,581;40;2,767;2,835;68
105;부산남구;체육시설;기타체육시설;분포문화체육센터;2018.03.16;직영;731;10,052;13;61,077;11,934;11,934;204;204;11,729;40;428;282;-146
106;부산북구;기타시설;기타시설;부산북구문화빙상센터;2005.07.13;직영;8,295;33,402;21;239,297;23,100;23,100;515;7,035;16,065;40;3,036;1,721;-1,315
107;부산해운대구;문화시설;공립도서관;해운대도서관;2010.02.12;위탁;8,555;4,970;33;2,165,444;14,761;14,761;369;3,291;11,471;40;380;3;-377
108;부산해운대구;문화시설;문화예술회관;해운대문화회관;2007.03.30;직영;6,514;3,686;22;150,000;11,108;11,108;222;2,740;8,368;50;1,288;375;-912
109;부산해운대구;기타시설;기타시설;해운대구문화복합센터;2013.10.30;직영;8,263;3,965;5;210,380;12,509;12,509;152;1,108;11,402;40;626;77;-550
110;부산사하구;문화시설;문화예술회관;을숙도문화회관;2002.10.05;직영;10,273;33,058;18;96,511;23,182;23,182;98;1,549;21,634;40;2,305;236;-2,068
111;부산사하구;체육시설;체육관;사하구 국민체육센터;2006.04.07;위탁;7,251;3,656;61;935,000;13,700;13,700;242;2,583;11,117;40;2,387;2,272;-115
112;부산금정구;문화시설;문화예술회관;금정문화회관;2000.03.31;직영;16,603;15,922;21;107,477;27,660;27,660;1,317;13,139;14,522;40;2,733;600;-2,133
113;부산강서구;체육시설;체육관;강서구 국민체육센터;2013.02.06;위탁;5,111;7,471;28;38,860;15,530;15,530;388;2,297;13,233;40;979;881;-98
114;부산연제구;체육시설;기타체육시설;연제구국민체육센터;2013.09.05;직영;7,693;17,286;6;324,033;14,517;14,517;355;1,802;12,715;40;1,783;1,576;-208
115;부산연제구;복지시설;종합사회복지관;거제종합사회복지관;2012.12.11;위탁;3,656;2,297;17;241,119;10,609;10,609;153;928;9,681;40;1,704;1,988;285
116;부산사상구;기타시설;기타시설;사상구 다누림센터;2012.03.13;위탁;18,019;6,520;123;623,784;28,652;28,652;580;3,579;25,073;40;5,438;2,937;-2,501
117;부산기장군;체육시설;체육관;국민체육공원 월드컵빌리지;2012.08.30;위탁;5,085;249,291;8;302,718;129,894;23,212;261;1,600;21,613;40;2,048;996;-1,052
118;대구본청;문화시설;박물관;DTC섬유박물관;2015.05.29;위탁;49,667;13,732;14;61,347;113,068;113,068;4,290;17,983;95,085;40;1,141;133;-1,009
119;대구본청;문화시설;미술관;대구미술관;2011.05.26;직영;21,701;71,202;59;288,596;67,569;67,569;1,391;12,175;56,509;40;7,328;65;-7,263
120;대구본청;문화시설;문화예술회관;대구문화예술회관;1990.05.21;직영;24,124;66,100;88;519,471;26,200;26,200;424;7,582;1,790;40;6,770;714;-6,057
121;대구본청;문화시설;문화예술회관;대구오페라하우스;2003.08.07;위탁;17,269;8,659;32;69,789;44,000;44,000;234;3,592;40,408;40;10,157;1,047;-9,110
122;대구본청;문화시설;문화예술회관;대구콘서트하우스;1975.10.05;직영;26,794;10,331;22;125,335;54,880;54,880;482;17,284;37,596;40;6,647;838;-5,809
123;대구본청;문화시설;과학관;대구광역시어린이회관;1983.11.15;직영;9,021;145,883;39;1,061,029;36,920;36,920;39;913;36,007;40;2,870;159;-2,712
124;대구본청;체육시설;육상경기장;대구스타디움;2001.06.28;직영;139,771;249,974;49;500,000;283,600;283,600;1,835;32,117;108,872;40;5,651;793;-4,858
125;대구본청;체육시설;육상경기장;대구육상진흥센터;2013.12.03;직영;21,600;32,160;16;85,000;72,500;72,500;1,522;7,101;58,676;40;701;166;-534
126;대구본청;체육시설;야구장;대구삼성라이온즈파크;2016.02.25;위탁;150,868;46,943;40;804,629;166,600;166,600;3,037;8,857;112,613;40;6,550;6,701;151
127;대구본청;체육시설;사격장;대구사격장;2008.10.27;위탁;17,021;191,300;24;250,000;49,553;49,553;1,107;11,255;33,026;40;2,597;1,182;-1,416
128;대구중구;문화시설;문화예술회관;봉산문화회관;2004.07.09;직영;6,390;3,273;14;100,236;18,055;18,055;451;6,094;11,961;40;1,800;364;-1,436
129;대구동구;문화시설;문화예술회관;아양아트센터;2004.05.04;위탁;11,978;25,057;26;202,000;33,930;28,228;649;6,443;21,785;40;7,610;9,606;1,996
130;대구서구;문화시설;문화예술회관;대구광역시 서구문화회관;1998.03.05;직영;5,834;8,538;14;123,000;12,103;11,659;291;4,648;7,011;40;1,760;200;-1,560
131;대구남구;복지시설;종합사회복지관;대명사회복지관;2018.06.26;위탁;2,488;1,117;14;300;11,433;11,372;16;16;11,356;40;529;0;-529
132;대구북구;문화시설;공립도서관;구수산도서관;2009.04.13;위탁;3,702;10,454;13;321,734;11,003;11,003;191;3,319;7,684;40;1,204;0;-1,204
133;대구북구;문화시설;문화예술회관;어울아트센터;1999.10.09;위탁;7,931;11,000;16;40,029;15,580;15,580;276;7,200;8,380;40;1,613;391;-1,221
134;대구북구;문화시설;청소년수련회관;북구청소년회관;2000.12.22;위탁;4,553;9,250;49;565,099;14,420;14,420;321;5,211;9,210;40;2,394;2,205;-190
135;대구북구;체육시설;체육관;대불스포츠센터;2015.10.01;위탁;3,310;3,504;16;18,090;14,500;14,500;331;993;13,507;40;755;483;-272
136;대구수성구;문화시설;공립도서관;범어도서관;2013.07.29;위탁;6,904;5,965;21;581,246;28,854;28,854;550;3,607;25,247;40;2,355;31;-2,325
137;대구수성구;문화시설;공립도서관;용학도서관;2010.09.13;위탁;4,516;1,720;16;395,903;10,855;10,855;211;2,171;8,684;40;1,964;15;-1,949
138;대구수성구;문화시설;문화예술회관;수성아트피아;2006.08.27;위탁;3,754;14,873;32;38,515;36,455;36,455;797;9,901;26,555;40;4,670;1,404;-3,266
139;대구수성구;체육시설;체육관;수성국민체육센터;2016.08.12;직영;2,070;10,851;10;172,910;10,424;10,424;232;559;9,865;40;406;396;-10
140;대구달서구;문화시설;문화예술회관;웃는얼굴아트센터;2004.10.14;위탁;9,230;18,815;16;165,665;26,214;26,214;496;5,775;20,439;40;1,717;713;-1,004
141;대구달성군;문화시설;문화예술회관;달성문화센터;2011.07.15;위탁;7,200;9,000;32;79,292;21,800;21,800;587;3,959;17,841;40;2,541;1,489;-1,051
142;대구달성군;체육시설;육상경기장;달성종합스포츠파크 주경기장;2014.03.31;위탁;2,499;144,500;7;31,206;53,638;53,638;1,911;9,987;43,651;20;387;38;-349
143;대구달성군;체육시설;체육관;달성군민체육관;2018.01.08;위탁;2,275;11,478;4;61,327;19,300;19,300;72;892;18,408;40;278;214;-64
144;대구달성군;체육시설;기타체육시설;가창 체육공원;2010.12.20;위탁;33;43,800;3;46,326;12,535;12,535;323;2,251;10,284;20;139;113;-26
145;대구달성군;체육시설;기타체육시설;다사 체육공원;2010.12.20;위탁;33;49,380;3;48,224;11,510;11,510;272;2,401;9,109;20;128;124;-4
146;인천본청;문화시설;공립도서관;미추홀도서관;2009.06.23;직영;13,099;5,310;39;619,179;21,467;21,467;339;4,748;16,719;40;6,085;18;-6,067
147;인천본청;문화시설;문화예술회관;인천무형문화재전수교육관;2014.07.11;직영;6,982;8,710;11;41,581;20,940;20,940;439;1,977;18,963;40;577;11;-566
148;인천본청;문화시설;문화예술회관;인천문화예술회관;1994.04.08;직영;43,313;53,003;47;218,590;58,658;58,658;411;22,118;36,540;40;23,735;1,438;-22,297
149;인천본청;문화시설;과학관;인천어린이과학관;2011.04.07;위탁;14,998;21,688;30;615,482;65,734;65,734;1,644;12,600;53,134;40;4,492;970;-3,522
150;인천본청;체육시설;축구장;인천축구전용경기장;2012.03.02;위탁;25,263;62,155;6;123,739;214,830;214,830;5,258;30,871;183,959;40;2,489;1,359;-1,130
151;인천본청;체육시설;체육관;삼산월드체육관;2006.09.28;위탁;43,029;50,020;47;1,188,204;74,000;74,000;2,371;23,038;50,962;30;5,448;3,187;-2,261
152;인천본청;체육시설;체육관;송림체육관;2013.07.19;위탁;22,734;28,994;69;458,644;36,676;36,676;1,158;6,370;30,306;40;3,203;1,645;-1,558
153;인천본청;체육시설;수영장;문학박태환수영장;2013.07.19;위탁;18,194;18,620;50;515,653;41,608;41,608;1,098;6,035;35,573;40;3,561;2,567;-995
154;인천본청;체육시설;사격장;옥련국제사격장;2014.09.04;위탁;9,999;95,837;11;16,388;34,953;34,953;842;2,945;32,008;40;944;97;-847
155;인천본청;체육시설;기타체육시설;강화고인돌체육관/아시아드BMX경기장;2013.11.13;위탁;18,746;77,174;6;50,746;62,387;62,387;1,170;4,109;58,278;40;1,126;105;-1,021
156;인천본청;체육시설;기타체육시설;계양체육관/양궁장/국제벨로드롬;2013.10.02;위탁;28,147;234,872;24;216,076;168,206;168,206;2,010;7,653;160,553;40;2,109;843;-1,266
157;인천본청;체육시설;기타체육시설;남동체육관/럭비경기장;2013.09.27;위탁;44,617;170,161;8;183,075;175,582;175,582;2,785;9,747;165,835;40;1,631;924;-707
158;인천본청;체육시설;기타체육시설;문학경기장(야구장포함);2002.02.25;위탁;69,927;432,034;20;1,624,280;330,500;330,500;1,714;125,829;204,671;40;7,137;10,660;3,522
159;인천본청;체육시설;기타체육시설;선학체육관/하키/빙상장;2014.01.21;위탁;26,919;242,484;36;380,435;151,468;151,468;6,572;20,581;130,887;40;880;880;1
160;인천본청;체육시설;기타체육시설;송도종합 LNG스포츠타운;2010.02.10;위탁;7,278;98,879;12;138,355;24,706;24,706;618;5,455;19,251;40;957;410;-547
161;인천본청;체육시설;기타체육시설;열우물테니스/스쿼시경기장;2013.08.16;위탁;26,723;142,968;57;98,631;150,367;150,367;3,617;12,250;138,117;40;3,405;1,629;-1,775
162;인천본청;체육시설;기타체육시설;인천아시아드주경기장/연희크리켓경기장;2014.04.30;위탁;110,153;623,856;45;338,328;466,515;466,515;6,635;23,073;443,442;40;4,111;2,135;-1,976
163;인천본청;기타시설;기타시설;하늘문화센터;2011.06.13;위탁;44,024;7,860;13;386,549;23,300;23,300;583;4,417;18,883;40;2,485;772;-1,714
164;인천중구;문화시설;박물관;영종역사관;2017.01.24;직영;2,936;84,368;9;38,469;10,102;10,102;147;147;9,955;40;541;14;-527
165;인천중구;문화시설;문화예술회관;중구문화회관;2012.05.10;직영;6,879;10,206;9;18,000;21,200;21,200;642;3,656;17,544;40;994;71;-923
166;인천중구;체육시설;체육관;인천광역시 중구국민체육센터;2012.05.10;위탁;5,759;35,830;27;104,530;16,613;16,613;503;2,907;13,706;40;1,710;853;-857
