순번;자치단체;시설유형;시설구분;시설명;건립일;운영방식;건물면적(㎡);토지면적(㎡);관리인력;연간이용인원;건립비용;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;비용;수익;순수익
취득가액;감가상각액;감가상각 누계액;장부가액;내용연수
37;서울강북구;문화시설;문화예술회관;강북문화예술회관;2001.11.01;위탁;11,266;13,345;43;1,201,228;34,090;34,090;852;14,448;19,602;40;2,558;613;-1,945
38;서울강북구;체육시설;축구장;강북구민운동장;2000.07.22;위탁;172;12,000;5;146,514;13,593;13,593;340;6,627;6,966;40;252;180;-72
39;서울강북구;체육시설;체육관;강북웰빙스포츠센터;2005.01.31;위탁;6,828;4,539;36;965,414;14,480;14,480;362;5,430;9,050;40;3,591;2,509;-1,081
40;서울도봉구;문화시설;박물관;둘리뮤지엄;2015.04.30;위탁;4,151;5,600;18;83,483;17,638;16,851;421;1,966;14,885;40;1,143;268;-875
41;서울노원구;문화시설;공립도서관;노원정보도서관;2005.11.14;위탁;6,526;2,850;0;808,000;16,792;14,337;359;5,057;9,281;40;960;66;-894
42;서울노원구;문화시설;문화예술회관;노원문화예술회관;2004.06.16;위탁;13,167;3,071;56;200,000;24,550;20,280;519;7,783;12,498;40;1,709;347;-1,362
43;서울노원구;문화시설;청소년수련회관;노원수학문화관;2019.09.10;직영;2,885;2,626;14;38,822;18,087;6,363;0;0;6,363;0;717;15;-702
44;서울노원구;체육시설;기타체육시설;월계문화체육센터;2017.07.31;위탁;7,999;261,303;36;60,964;22,682;22,682;567;1,181;21,501;40;2,738;2,663;-75
45;서울은평구;문화시설;박물관;은평역사한옥박물관;2014.10.07;직영;2,901;6,530;18;73,763;12,528;12,276;307;2,839;9,437;40;773;59;-714
46;서울은평구;문화시설;문화예술회관;은평문화예술회관;1996.11.15;위탁;9,151;16,083;29;203,516;17,643;3,035;76;1,682;1,353;40;1,637;624;-1,013
47;서울은평구;체육시설;체육관;은평구민체육센터;2003.09.01;위탁;8,847;9,988;47;128,700;22,613;16,700;317;5,064;11,635;40;2,707;2,902;196
48;서울은평구;체육시설;체육관;은평다목적체육관;2014.02.12;위탁;2,954;5,876;10;22,870;27,424;8,564;214;1,586;25,838;40;18;323;305
49;서울서대문구;문화시설;박물관;서대문자연사박물관;2003.07.10;직영;1,998;10,351;34;356,179;23,870;5,493;66;2,558;2,936;60;3,308;1,769;-1,539
50;서울서대문구;기타시설;기타시설;서대문문화체육회관;1993.06.30;위탁;5,947;11,326;50;793,847;24,831;24,831;810;8,278;17,378;40;3,291;1,738;-1,553
51;서울마포구;문화시설;공립도서관;마포중앙도서관;2017.10.27;직영;20,229;10,754;50;1,069,146;39,945;39,945;999;2,413;37,532;40;5,001;1,255;-3,745
52;서울마포구;체육시설;체육관;마포구민체육센터;2015.10.30;위탁;7,390;3,554;27;112,321;16,542;16,542;415;1,688;14,853;40;2,018;1,563;-455
53;서울마포구;기타시설;기타시설;마포아트센터;2002.04.26;위탁;19,756;8,388;90;156,105;31,420;31,420;82;16,563;14,857;40;9,143;3,674;-5,469
54;서울양천구;문화시설;문화예술회관;양천문화회관;1998.01.12;직영;12,801;4,658;11;260,000;18,590;18,590;65;6,956;21,290;40;787;69;-718
55;서울강서구;문화시설;박물관;허준박물관;2004.11.20;위탁;3,934;5,693;10;72,888;14,889;10,049;74;799;9,250;40;658;73;-585
56;서울강서구;문화시설;미술관;겸재정선미술관;2008.11.30;위탁;3,305;4,065;10;85,448;16,788;16,788;248;2,692;14,096;40;654;74;-579
57;서울강서구;체육시설;체육관;강서구민올림픽체육센터;2000.07.31;위탁;11,357;3,011;34;21,898;17,219;6,088;156;2,859;3,230;40;2,481;451;-2,030
58;서울강서구;체육시설;체육관;마곡레포츠센터;2006.11.30;위탁;4,079;20,000;26;68,522;13,289;13,289;334;4,248;9,041;40;2,498;2,074;-424
59;서울금천구;문화시설;문화예술회관;금나래아트홀;2008.11.01;위탁;6,261;6,261;17;94,379;18,210;18,210;455;4,097;14,113;40;1,625;62;-1,564
60;서울금천구;체육시설;기타체육시설;금천구민문화체육센터;2001.03.02;위탁;9,115;5,529;0;92,833;21,611;21,611;482;7,737;13,875;40;2,644;2,758;114
61;서울영등포구;체육시설;체육관;영등포제1스포츠센터;2004.09.01;위탁;9,169;19,782;20;56,715;20,424;20,298;570;6,296;14,002;40;2,348;1,403;-945
62;서울영등포구;체육시설;체육관;영등포제2스포츠센터;2014.08.01;위탁;6,674;1,506;18;72,419;22,105;22,105;553;3,039;19,065;40;2,852;3,188;336
63;서울영등포구;기타시설;기타시설;영등포구민회관;1992.12.29;위탁;3,290;7,075;15;32,940;25,524;25,524;924;13,277;12,247;40;1,014;2,572;1,558
64;서울동작구;체육시설;기타체육시설;동작구민체육센터;2002.05.10;위탁;8,650;4,709;24;98,812;22,132;13,243;137;2,142;11,101;40;4,077;4,705;628
65;서울동작구;체육시설;기타체육시설;사당종합체육관;2017.03.27;위탁;7,102;3,202;13;30,863;22,376;20,715;518;1,079;19,636;40;1,730;1,585;-144
66;서울동작구;기타시설;기타시설;동작문화복지센터;1999.05.28;직영;10,022;2,897;14;833,000;17,458;17,458;357;6,376;11,082;40;966;74;-892
67;서울관악구;문화시설;문화예술회관;관악문화관;2002.08.28;위탁;14,279;7,349;44;658,685;31,460;31,460;654;9,743;21,838;40;4,698;145;-4,553
68;서울관악구;체육시설;체육관;관악구민종합체육센터;2000.09.08;위탁;1,924;10,357;39;98,860;13,805;11,184;199;2,742;8,442;40;2,895;2,592;-304
69;서울서초구;문화시설;공립도서관;서초구립반포도서관;2013.03.12;위탁;3,591;1,320;20;899,083;20,412;19,508;232;1,604;17,904;40;2,219;48;-2,171
70;서울서초구;체육시설;체육관;서초종합체육관;2018.10.01;위탁;3,167;20,923;0;0;25,800;23,202;242;242;22,960;40;1,642;1,761;119
71;서울서초구;기타시설;기타시설;심산기념문화센터;2010.01.22;위탁;8,415;26,092;10;211,978;17,200;17,200;286;2,685;14,533;60;1,417;743;-674
72;서울강남구;문화시설;공립도서관;도곡정보문화도서관;2012.12.14;위탁;2,930;2,812;10;1,128,126;28,009;27,758;694;3,528;24,230;40;741;10;-731
73;서울강남구;문화시설;청소년수련회관;역삼청소년수련관;2004.01.30;위탁;7,048;1,372;32;331,498;16,858;13,141;329;4,555;8,586;40;2,885;3,085;200
74;서울강남구;체육시설;체육관;강남스포츠문화센터;2005.03.01;위탁;1,571;3,304;44;87,412;33,596;20,038;511;6,278;13,760;40;3,137;1,751;-1,387
75;서울강남구;기타시설;기타시설;행복요양병원;2012.06.01;BTL;18,607;18,585;0;0;53,945;53,945;1,042;5,993;47,952;30;1,612;6;-1,606
76;서울송파구;문화시설;공립도서관;글마루도서관;2013.10.25;위탁;3,696;3,696;27;994,986;11,513;11,513;250;1,586;9,927;40;1,973;38;-1,935
77;서울송파구;체육시설;기타체육시설;송파구체육문화회관;2004.02.10;위탁;8,983;4,426;37;1,000,000;15,300;15,300;9;255;15,045;40;4,572;4,551;-21
78;서울강동구;문화시설;문화예술회관;강동아트센터;2010.11.20;직영;18,065;20,252;29;107,488;57,375;55,109;1,374;11,339;43,770;40;3,997;854;-3,143
79;서울강동구;체육시설;체육관;온조대왕문화체육관;2003.12.07;위탁;1,745;6,490;30;60,000;21,617;13,664;100;1,413;14,803;40;2,948;2,759;-189
80;부산본청;문화시설;박물관;복천박물관;1996.02.26;직영;7,798;56,334;0;142,303;43,447;43,447;33;807;42,640;40;2,274;2;-2,271
81;부산본청;문화시설;미술관;부산광역시립미술관;1998.03.20;직영;22,826;27,191;59;379,910;42,073;42,073;154;24,437;17,635;40;7,005;391;-6,614
82;부산본청;문화시설;미술관;현대미술관;2017.03.08;직영;15,311;29,900;51;337,930;43,000;39,880;292;1,456;38,424;40;6,799;206;-6,593
83;부산본청;문화시설;문화예술회관;부산문화회관;1988.07.25;위탁;44,742;48,424;61;278,555;44,600;44,600;871;31,466;13,134;40;11,472;3,183;-8,289
84;부산본청;문화시설;문화예술회관;영화의전당;2011.09.28;위탁;54,335;32,137;88;829,576;167,850;167,850;3,413;27,430;140,420;40;11,761;4,108;-7,654
85;부산본청;체육시설;육상경기장;아시아드주경기장;2001.09.01;직영;103,163;114,098;70;696,911;230,612;230,612;5,765;33,151;197,461;40;8,218;7,068;-1,150
86;부산본청;체육시설;싸이클경기장;금정체육공원;2002.07.31;위탁;36,542;19,769;82;337,101;75,232;75,232;1,880;33,852;41,380;40;22,356;21,409;-947
87;부산본청;체육시설;테니스장;금정체육공원;2002.07.31;위탁;7,867;2,630;5;57,843;35,600;35,600;890;16,020;19,580;40;1,289;596;-692
88;부산본청;체육시설;체육관;강서체육공원 체육관;2002.08.01;직영;21,440;12,236;25;1,121,770;32,931;32,931;226;3,739;29,192;40;4,391;1,171;-3,220
89;부산본청;체육시설;체육관;금정체육공원;2002.07.31;위탁;21,075;7,354;8;370,747;41,800;41,800;1,045;18,810;22,990;40;5,870;2,742;-3,128
90;부산본청;체육시설;체육관;기장체육관;2002.08.01;직영;21,471;61,135;20;171,830;48,010;48,010;282;5,200;42,810;40;2,271;109;-2,162
91;부산본청;체육시설;체육관;사직실내체육관;1985.08.28;직영;31,041;25,901;20;1,724,024;22,953;22,953;574;8,873;14,080;40;2,777;1,672;-1,105
92;부산본청;체육시설;수영장;종합운동장실내수영장;1989.02.01;직영;18,149;25,411;35;570,648;23,090;23,090;185;5,717;17,373;40;3,987;1,436;-2,551
93;부산본청;체육시설;요트장;요트경기장;1986.04.03;직영;14,013;138,561;37;372,936;70,826;70,826;44;1,397;70,782;40;2,555;2,242;-313
94;부산동구;체육시설;기타체육시설;동구국민체육문예센터;2017.08.24;위탁;5,719;2,818;62;0;18,500;13,310;333;804;12,506;40;1,193;943;-251
95;부산영도구;문화시설;문화예술회관;영도문화예술회관;2009.10.19;직영;3,538;26,987;21;26,654;11,361;11,361;264;2,627;8,734;40;2,045;95;-1,950
96;부산영도구;체육시설;체육관;영도국민체육센터;2009.10.19;위탁;7,890;26,987;64;785,627;11,500;11,500;288;2,875;8,625;40;2;0;-2
97;부산부산진구;체육시설;기타체육시설;부산진구 국민체육센터;2017.07.14;위탁;3,704;5,809;24;20,000;13,637;13,637;333;818;12,820;25;1,402;1,405;4
98;부산동래구;문화시설;문화예술회관;동래문화회관;1999.10.22;직영;5,539;10,957;25;129,069;12,691;12,691;65;1,158;11,533;40;830;176;-655
99;부산동래구;체육시설;체육관;동래구국민체육센터;2014.06.26;위탁;4,869;1,822;33;430,839;14,127;14,127;217;1,230;12,897;40;36;6;-30
100;부산남구;체육시설;빙상장;남구실내빙상장;2018.04.28;직영;3,606;83,122;19;45,970;11,000;10,774;180;180;10,595;40;976;512;-464
101;부산남구;체육시설;기타체육시설;남구국민체육센터;2010.01.15;직영;5,559;10,900;77;621,942;10,959;10,959;277;2,378;8,581;40;2,767;2,835;68
102;부산남구;체육시설;기타체육시설;분포문화체육센터;2018.03.16;직영;731;10,052;13;61,077;11,934;11,934;204;204;11,729;40;428;282;-146
103;부산북구;기타시설;기타시설;부산북구문화빙상센터;2005.07.13;직영;8,295;33,402;21;239,297;23,100;23,100;503;7,538;15,562;40;2,445;883;-1,562
104;부산해운대구;문화시설;공립도서관;해운대도서관;2010.02.12;위탁;8,555;4,970;33;1,756,488;14,761;14,761;369;3,660;11,102;40;382;3;-378
105;부산해운대구;문화시설;문화예술회관;해운대문화회관;2006.09.28;직영;6,514;3,686;22;148,522;11,425;11,425;231;2,971;8,455;50;1,925;380;-1,544
106;부산해운대구;기타시설;기타시설;해운대구문화복합센터;2013.10.30;직영;8,263;3,965;4;276,135;12,509;12,509;313;1,929;10,581;40;899;83;-817
107;부산사하구;문화시설;문화예술회관;을숙도문화회관;2002.10.05;직영;10,273;33,058;18;90,688;23,182;23,182;98;1,646;21,848;40;1,869;133;-1,736
108;부산사하구;체육시설;체육관;사하구 국민체육센터;2006.04.07;위탁;7,251;3,656;0;935,000;13,700;13,700;242;3,310;11,037;40;2,674;2,501;-173
109;부산사하구;체육시설;체육관;서부산권 장애인스포츠센터;2018.10.31;위탁;4,007;11,107;0;0;13,200;13,200;532;532;12,766;40;1,163;928;-235
110;부산금정구;문화시설;문화예술회관;금정문화회관;2000.03.31;직영;16,603;15,922;23;107,477;27,660;27,660;692;13,830;13,830;40;4,558;518;-4,040
111;부산강서구;체육시설;체육관;강서구 국민체육센터;2013.02.06;위탁;5,111;7,471;28;38,860;15,530;15,530;388;2,685;12,845;40;1,183;1,214;32
112;부산연제구;체육시설;기타체육시설;연제구국민체육센터;2013.09.05;직영;7,693;17,286;10;336,247;14,517;14,131;355;2,157;11,974;40;2,018;1,740;-277
113;부산연제구;복지시설;종합사회복지관;거제종합사회복지관;2012.12.11;위탁;3,656;2,297;16;241,119;10,609;10,402;153;1,081;9,321;40;1,199;1,455;256
114;부산수영구;체육시설;체육관;수영구 국민체육센터;2019.06.18;위탁;4,995;9,957;61;3,500;18,225;18,225;38;38;18,187;40;18,225;0;-18,225
115;부산사상구;기타시설;기타시설;사상구 다누림센터;2012.03.13;위탁;18,019;6,520;117;653,188;28,652;28,652;580;4,158;24,494;40;6,617;3,539;-3,078
116;부산기장군;체육시설;체육관;국민체육공원 월드컵빌리지;2012.08.30;위탁;5,085;249,291;16;337,549;129,894;23,212;261;1,861;21,352;40;2,109;1,128;-981
117;대구본청;문화시설;박물관;DTC섬유박물관;2015.05.29;위탁;49,667;13,732;6;72,855;113,068;96,279;2,527;20,510;75,769;40;1,090;154;-936
118;대구본청;문화시설;미술관;대구미술관;2011.05.26;직영;21,701;71,202;60;238,728;67,569;67,569;1,391;13,566;54,003;40;7,540;113;-7,427
119;대구본청;문화시설;문화예술회관;대구문화예술회관;1990.05.21;직영;24,124;66,100;74;581,454;42,200;42,200;446;8,028;1,407;40;7,659;763;-6,896
120;대구본청;문화시설;문화예술회관;대구오페라하우스;2003.08.07;위탁;17,269;8,659;33;94,575;44,000;44,000;234;3,826;40,174;40;9,223;785;-8,438
121;대구본청;문화시설;문화예술회관;대구콘서트하우스;1975.10.05;위탁;26,793;10,331;23;142,448;54,880;54,880;490;17,774;37,106;40;7,954;1,268;-6,686
122;대구본청;문화시설;과학관;대구광역시어린이회관;1983.11.15;직영;9,021;145,883;42;973,423;36,920;36,920;39;953;35,968;40;2,695;150;-2,544
123;대구본청;체육시설;육상경기장;대구스타디움;2001.06.28;직영;139,771;249,974;49;480,000;283,600;283,600;1,835;33,952;107,033;40;6,180;406;-5,774
124;대구본청;체육시설;육상경기장;대구육상진흥센터;2013.12.03;직영;21,600;32,160;14;87,000;72,500;72,500;1,522;8,622;57,154;40;20,510;110;-20,400
125;대구본청;체육시설;축구장;DGB대구은행파크;2019.01.24;위탁;25,472;45,639;15;243,926;51,500;51,500;1,261;1,261;49,164;40;866;5,265;4,399
126;대구본청;체육시설;야구장;대구삼성라이온즈파크;2016.02.25;위탁;150,868;46,943;42;659,482;166,600;166,600;3,037;11,894;109,576;40;6,200;6,339;139
127;대구본청;체육시설;사격장;대구사격장;2008.10.27;위탁;17,021;191,300;24;184,171;49,553;49,553;1,107;12,362;31,919;40;2,592;1,121;-1,471
128;대구중구;문화시설;문화예술회관;봉산문화회관;2004.07.09;직영;6,390;3,273;14;93,490;18,055;18,055;451;6,771;11,284;40;1,904;366;-1,537
129;대구동구;문화시설;문화예술회관;아양아트센터;2004.05.04;위탁;11,978;25,057;26;202,000;33,930;28,228;649;7,092;21,136;40;7,965;9,645;1,680
130;대구서구;문화시설;문화예술회관;대구광역시 서구문화회관;1998.03.05;직영;5,843;8,538;14;130,000;12,630;11,659;291;4,939;6,720;40;2,142;195;-1,947
131;대구남구;복지시설;종합사회복지관;대명사회복지관;2018.06.26;위탁;2,488;1,117;14;300;11,433;11,372;193;209;11,163;40;719;0;-719
132;대구북구;문화시설;공립도서관;구수산도서관;2009.04.13;위탁;3,702;10,454;14;348,568;11,003;8,800;191;2,099;6,701;40;1,180;2;-1,178
133;대구북구;문화시설;문화예술회관;어울아트센터;1999.10.09;위탁;7,931;11,000;15;100,000;15,580;9,747;268;4,952;4,795;40;1,638;393;-1,245
134;대구북구;문화시설;청소년수련회관;북구청소년회관;2000.12.22;위탁;4,553;9,250;52;693,839;14,420;13,612;271;4,994;8,619;40;2,598;2,188;-411
135;대구북구;체육시설;체육관;대불스포츠센터;2015.10.01;위탁;3,310;3,504;8;12,000;14,500;13,805;208;882;12,923;40;912;530;-382
136;대구수성구;문화시설;공립도서관;범어도서관;2013.07.29;위탁;6,904;5,965;22;721,047;28,854;21,997;550;4,166;17,831;40;2,836;39;-2,797
137;대구수성구;문화시설;공립도서관;용학도서관;2010.09.13;위탁;4,516;1,720;21;393,277;10,855;8,440;211;2,092;6,348;40;1,704;13;-1,691
138;대구수성구;문화시설;문화예술회관;수성아트피아;2006.08.27;위탁;3,754;14,873;29;116,083;36,455;36,455;797;10,697;25,758;40;5,173;1,538;-3,635
139;대구수성구;체육시설;체육관;수성국민체육센터;2016.08.12;직영;2,070;10,851;10;172,910;10,424;10,424;232;791;9,634;40;436;372;-64
140;대구달서구;문화시설;문화예술회관;웃는얼굴아트센터;2004.10.14;위탁;9,230;18,815;16;150,417;26,214;19,833;496;6,270;13,562;40;1,916;616;-1,300
141;대구달성군;문화시설;문화예술회관;달성문화센터;2011.07.15;위탁;7,200;9,000;32;78,949;21,800;21,179;587;3,924;17,255;40;2,604;1,697;-907
142;대구달성군;체육시설;육상경기장;달성종합스포츠파크 주경기장;2014.03.31;위탁;2,499;144,500;12;22,087;53,638;52,849;1,910;11,109;41,741;20;353;31;-321
143;대구달성군;체육시설;체육관;달성군민체육관;2018.01.08;위탁;2,275;11,478;5;43,061;19,300;19,274;75;940;18,333;40;266;291;25
144;대구달성군;체육시설;기타체육시설;가창 체육공원;2010.12.20;위탁;33;43,800;3;59,340;12,535;12,477;325;2,518;9,959;20;134;117;-17
145;대구달성군;체육시설;기타체육시설;다사 체육공원;2010.12.20;위탁;33;49,380;3;44,561;11,510;11,364;282;2,537;8,827;20;136;120;-16
146;인천본청;문화시설;공립도서관;미추홀도서관;2009.06.23;직영;13,099;5,310;36;679,728;21,467;21,467;339;11,637;9,830;40;6,172;20;-6,152
147;인천본청;문화시설;문화예술회관;인천무형문화재전수교육관;2014.07.11;직영;6,982;8,710;14;37,455;20,940;20,069;439;2,416;17,653;40;383;8;-375
148;인천본청;문화시설;문화예술회관;인천문화예술회관;1994.04.08;직영;43,313;53,003;282;184,313;58,658;58,658;1,466;20,530;38,128;40;25,093;1,666;-23,427
149;인천본청;문화시설;과학관;인천어린이과학관;2011.04.07;위탁;14,998;21,668;38;602,838;65,734;65,734;1,644;14,244;51,490;40;5;897;892
150;인천본청;체육시설;축구장;인천축구전용경기장;2012.03.02;위탁;25,263;62,155;6;123,739;214,830;214,830;5,258;30,871;183,959;40;2,631;1,384;-1,247
151;인천본청;체육시설;체육관;삼산월드체육관;2006.09.28;위탁;43,029;50,020;49;1,358,612;74,000;74,000;2,371;31,510;42,490;30;5,453;3,890;-1,563
152;인천본청;체육시설;체육관;송림체육관;2013.07.19;위탁;22,734;28,994;37;468,515;36,676;36,676;1,158;7,528;29,148;40;3,394;1,603;-1,791
153;인천본청;체육시설;수영장;문학박태환수영장;2013.07.19;위탁;18,194;18,620;36;486,957;41,608;41,608;1,098;7,133;34,475;40;3,860;2,525;-1,335
