순번;자치단체;시설유형;시설구분;시설명;건립일;운영방식;건물면적(㎡);토지면적(㎡);관리인력;연간이용인원;건립비용;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;비용;수익;순수익
취득가액;감가상각액;감가상각 누계액;장부가액;내용연수
1;서울본청;문화시설;공립도서관;서울도서관;2012.10.26;직영;9,499;18,711;53;1,148,307;2,522;64,100;0;64,100;0;40;2,522;0;-2,522
2;서울본청;문화시설;박물관;서울역사박물관;1998.02.03;직영;20,883;99,728;259;1,788,452;14,006;34,000;0;12,930;21,070;40;14,006;806;-13,199
3;서울본청;문화시설;박물관;한성백제박물관;2011.12.31;직영;19,423;14,894;134;744,639;12,776;79,531;367;2,200;77,330;40;12,776;273;-12,503
4;서울본청;문화시설;미술관;서울시립미술관;2002.01.31;직영;13,433;25,420;144;1,818,375;11,972;27,804;695;10,253;17,551;40;11,972;1,164;-10,809
5;서울본청;문화시설;문화예술회관;동대문디자인플라자;2013.11.30;위탁;86,574;62,108;65;9,237,337;16,797;384,332;10,128;19,736;364,596;40;16,797;15,700;-1,098
6;서울본청;문화시설;문화예술회관;블루스퀘어;2011.11.03;BTO;10,922;30,250;69;653,427;0;54,837;1,450;5,905;48,932;40;0;1,572;1,572
7;서울본청;문화시설;문화예술회관;세종문화회관;1978.04.14;위탁;13,081;55,758;423;1,987,428;37,260;28,533;444;8,870;19,663;40;37,260;38,637;1,377
8;서울본청;문화시설;청소년수련회관;노원청소년수련관;1997.06.30;위탁;8,246;3,560;77;896,849;4,789;39,443;88;1,266;38,177;40;4,789;5,033;244
9;서울본청;문화시설;청소년수련회관;마포청소년수련관;2008.11.01;위탁;5,208;2,286;35;844,943;3,803;27,022;774;4,824;22,198;40;3,803;3,805;1
10;서울본청;문화시설;청소년수련회관;목동청소년수련관;1997.10.21;위탁;6,203;5,743;31;653,393;2,667;32,209;61;1,223;30,986;40;2,667;2,918;251
11;서울본청;문화시설;청소년수련회관;은평청소년수련관;2003.10.25;위탁;4,963;13,500;41;769,998;3,367;23,130;267;2,469;20,661;40;3,367;3,559;192
12;서울본청;문화시설;과학관;서울시립과학관;2016.06.30;직영;12,330;25,875;73;170,585;4,210;42,349;2,223;2,223;40,126;40;4,210;384;-3,826
13;서울본청;체육시설;육상경기장;잠실올림픽주경기장;1984.09.29;직영;75,469;111,792;30;702,886;8,523;36,736;0;26,559;10,177;40;8,523;8,618;95
14;서울본청;체육시설;축구장;서울월드컵경기장;2001.12.27;위탁;58,552;216,712;0;887,619;9,650;83,642;2,091;31,540;52,102;40;9,650;19;-9,631
15;서울본청;체육시설;야구장;잠실야구장;1982.07.15;위탁;26,331;45,312;40;2,392,566;2,251;21,646;0;16,882;4,764;40;2,251;14,524;12,274
16;서울본청;기타시설;기타시설;서울에너지드림센터;2012.12.10;위탁;3,762;13,039;12;101,898;914;20,306;508;2,583;18,231;40;914;35;-880
17;서울종로구;체육시설;체육관;종로문화체육센터;2007.04.01;위탁;6,756;3,069;39;675,333;2,432;19,535;385;3,815;15,720;40;2,432;2,325;-107
18;서울종로구;기타시설;기타시설;종로구민회관;2000.01.31;위탁;11,262;3,974;44;560,367;2,493;22,582;323;5,466;17,116;40;2,493;1,659;-834
19;서울중구;문화시설;문화예술회관;충무아트센터;2005.02.04;위탁;25,994;6,512;46;447,855;7,696;34,639;517;5,665;28,974;40;7,696;7,258;-438
20;서울중구;체육시설;체육관;충무아트홀 스포츠센터;2005.02.04;위탁;12,520;9,172;35;1,774,006;3,368;14,149;354;2,668;16,265;40;3,368;4,379;1,011
21;서울중구;체육시설;체육관;회현체육센터;2009.05.01;위탁;4,829;2,693;21;377,154;1,428;14,365;359;2,104;13,500;40;1,428;821;-607
22;서울중구;기타시설;기타시설;중구구민회관;1990.06.05;위탁;1,899;5,224;0;0;837;14,163;82;1,520;12,643;40;837;628;-210
23;서울용산구;문화시설;문화예술회관;용산아트홀;2010.07.01;직영;8,519;13,497;8;120,000;645;27,048;676;5,362;21,686;40;645;270;-375
24;서울용산구;체육시설;체육관;용산구문화체육센터;2005.08.10;위탁;5,919;1,272;25;448,872;1,769;14,853;381;4,564;10,289;40;1,769;1,563;-205
25;서울용산구;복지시설;종합사회복지관;갈월종합사회복지관;2001.09.01;위탁;6,358;1,627;37;387,028;2,459;12,592;247;4,076;8,516;40;2,459;2,559;100
26;서울용산구;기타시설;기타시설;용산청소년수련관;2006.06.15;위탁;6,497;1,333;31;74,991;2,345;14,000;287;3,245;10,755;40;2,345;2,286;-59
27;서울성동구;문화시설;공립도서관;성동구립도서관;1999.04.23;위탁;5,692;1,894;28;1,418,541;1,899;12,148;304;5,694;6,454;40;1,899;240;-1,660
28;서울성동구;기타시설;기타시설;성수문화복지회관;2012.09.14;위탁;9,726;2,204;21;408,241;1,091;23,580;589;2,898;20,681;40;1,091;396;-695
29;서울광진구;문화시설;공립도서관;광진정보도서관;2000.11.10;위탁;7,283;3,499;27;1,261,416;1,702;10,540;69;1,199;18,286;40;1,702;125;-1,578
30;서울광진구;문화시설;문화예술회관;광진문화예술회관;2005.03.01;위탁;18,860;5,931;26;770,241;3,089;32,220;350;2,756;35,517;40;3,089;3,610;520
31;서울광진구;체육시설;체육관;광진구민체육센터;2006.06.30;위탁;6,623;10,921;27;1,017,952;3,483;25,369;468;5,410;21,639;40;3,483;3,526;43
32;서울광진구;체육시설;체육관;중곡문화체육센터;2008.10.28;위탁;8,176;3,690;25;688,174;2,821;16,500;413;3,815;16,637;40;2,821;2,530;-290
